name                                                                                                                             TableName                                                                                                                        is_unique filter_definition                                                                                                                                                                                                                                               
idx_groupid                                                                                                                      fulltext_thesaurus_phrase_table                                                                                                          0 NULL                                                                                                                                                                                                                                                            
idx_phraseid                                                                                                                     fulltext_thesaurus_phrase_table                                                                                                          1 NULL                                                                                                                                                                                                                                                            
wpr_bucket_clustered_idx                                                                                                         wpr_bucket_table                                                                                                                         1 NULL                                                                                                                                                                                                                                                            
IX_Users_NormalizedEmail                                                                                                         Users                                                                                                                                    1 ([IsDeleted]=(0))                                                                                                                                                                                                                                               
IX_Programmes_UniversityId                                                                                                       Programmes                                                                                                                               0 NULL                                                                                                                                                                                                                                                            
IX_AcademicClasses_ProgrammeId                                                                                                   AcademicClasses                                                                                                                          0 NULL                                                                                                                                                                                                                                                            
IX_Courses_ProgrammeId                                                                                                           Courses                                                                                                                                  0 NULL                                                                                                                                                                                                                                                            
IX_Students_University_Programme                                                                                                 Students                                                                                                                                 0 NULL                                                                                                                                                                                                                                                            
UX_Enrollments_Student_Class                                                                                                     Enrollments                                                                                                                              1 ([IsDeleted]=(0))                                                                                                                                                                                                                                               
IX_Submissions_AssessmentId                                                                                                      Submissions                                                                                                                              0 NULL                                                                                                                                                                                                                                                            
queue_clustered_index                                                                                                            queue_messages_1977058079                                                                                                                1 NULL                                                                                                                                                                                                                                                            
queue_secondary_index                                                                                                            queue_messages_1977058079                                                                                                                1 NULL                                                                                                                                                                                                                                                            
queue_clustered_index                                                                                                            queue_messages_2009058193                                                                                                                1 NULL                                                                                                                                                                                                                                                            
queue_secondary_index                                                                                                            queue_messages_2009058193                                                                                                                1 NULL                                                                                                                                                                                                                                                            
queue_clustered_index                                                                                                            queue_messages_2041058307                                                                                                                1 NULL                                                                                                                                                                                                                                                            
queue_secondary_index                                                                                                            queue_messages_2041058307                                                                                                                1 NULL                                                                                                                                                                                                                                                            
FSTSClusIdx                                                                                                                      filestream_tombstone_2073058421                                                                                                          1 NULL                                                                                                                                                                                                                                                            
FSTSNCIdx                                                                                                                        filestream_tombstone_2073058421                                                                                                          0 NULL                                                                                                                                                                                                                                                            
ci_commit_ts                                                                                                                     syscommittab                                                                                                                             1 NULL                                                                                                                                                                                                                                                            
si_xdes_id                                                                                                                       syscommittab                                                                                                                             1 NULL                                                                                                                                                                                                                                                            
si_commit_time_ts                                                                                                                syscommittab                                                                                                                             0 NULL                                                                                                                                                                                                                                                            
FFtUpdateIdx                                                                                                                     filetable_updates_2105058535                                                                                                             1 NULL                                                                                                                                                                                                                                                            

(201 rows affected)
